Real Time (s):,260
Baseline (channel):,Auto
Threshold Min (channel):,0
Threshold Max (channel):,16384
Decimation (samples):,16
Wait Time (samples):,0
Channel,Counts
0, 0
1, 23714388
2, 3203959
3, 3076717
4, 3382904
5, 3451211
6, 3441021
7, 3378466
8, 3304464
9, 3212551
10, 3105196
11, 2979765
12, 2841729
13, 2697861
14, 2542783
15, 2378011
16, 2212345
17, 2041891
18, 1871387
19, 1704567
20, 1537674
21, 1381164
22, 1231364
23, 1086126
24, 954137
25, 829451
26, 717915
27, 614489
28, 522014
29, 439512
30, 366852
31, 304784
32, 250567
33, 203951
34, 165179
35, 130767
36, 103688
37, 82296
38, 63516
39, 49418
40, 38036
41, 28719
42, 21519
43, 16129
44, 12213
45, 8896
46, 6551
47, 4835
48, 3551
49, 2655
50, 1952
51, 1497
52, 1212
53, 972
54, 844
55, 711
56, 607
57, 549
58, 525
59, 575
60, 519
61, 459
62, 470
63, 508
64, 433
65, 486
66, 452
67, 452
68, 484
69, 463
70, 482
71, 506
72, 477
73, 449
74, 533
75, 502
76, 489
77, 453
78, 496
79, 462
80, 473
81, 460
82, 505
83, 506
84, 482
85, 507
86, 488
87, 447
88, 471
89, 506
90, 492
91, 524
92, 477
93, 486
94, 500
95, 480
96, 499
97, 447
98, 477
99, 452
100, 475
101, 508
102, 461
103, 487
104, 514
105, 483
106, 435
107, 468
108, 461
109, 502
110, 488
111, 477
112, 479
113, 479
114, 478
115, 461
116, 499
117, 478
118, 477
119, 486
120, 503
121, 480
122, 472
123, 493
124, 449
125, 464
126, 470
127, 477
128, 500
129, 513
130, 477
131, 466
132, 509
133, 506
134, 493
135, 484
136, 455
137, 467
138, 476
139, 503
140, 480
141, 518
142, 534
143, 488
144, 481
145, 527
146, 501
147, 511
148, 496
149, 545
150, 473
151, 539
152, 531
153, 590
154, 558
155, 548
156, 543
157, 518
158, 541
159, 588
160, 527
161, 581
162, 531
163, 584
164, 571
165, 636
166, 599
167, 648
168, 634
169, 674
170, 664
171, 632
172, 656
173, 665
174, 689
175, 613
176, 681
177, 685
178, 729
179, 698
180, 702
181, 715
182, 673
183, 668
184, 694
185, 693
186, 695
187, 690
188, 707
189, 639
190, 677
191, 647
192, 658
193, 620
194, 644
195, 594
196, 613
197, 553
198, 606
199, 560
200, 644
201, 570
202, 603
203, 633
204, 616
205, 624
206, 628
207, 609
208, 635
209, 578
210, 618
211, 585
212, 577
213, 621
214, 637
215, 685
216, 672
217, 685
218, 681
219, 696
220, 671
221, 719
222, 712
223, 751
224, 740
225, 868
226, 875
227, 806
228, 931
229, 955
230, 1023
231, 1043
232, 1125
233, 1262
234, 1230
235, 1386
236, 1416
237, 1689
238, 1776
239, 1835
240, 2134
241, 2239
242, 2487
243, 2741
244, 2920
245, 3197
246, 3371
247, 3594
248, 3767
249, 4183
250, 4399
251, 4606
252, 4881
253, 4970
254, 5204
255, 5224
256, 5251
257, 5414
258, 5376
259, 5364
260, 5353
261, 5253
262, 5061
263, 4836
264, 4758
265, 4573
266, 4183
267, 3984
268, 3719
269, 3546
270, 3351
271, 3054
272, 2873
273, 2669
274, 2484
275, 2241
276, 2129
277, 1955
278, 1903
279, 1742
280, 1763
281, 1716
282, 1647
283, 1752
284, 1675
285, 1648
286, 1722
287, 1667
288, 1748
289, 1693
290, 1733
291, 1772
292, 1750
293, 1840
294, 1742
295, 1670
296, 1726
297, 1590
298, 1617
299, 1589
300, 1536
301, 1423
302, 1403
303, 1350
304, 1259
305, 1166
306, 1106
307, 1065
308, 986
309, 988
310, 878
311, 847
312, 802
313, 768
314, 744
315, 657
316, 633
317, 607
318, 620
319, 573
320, 567
321, 568
322, 527
323, 526
324, 523
325, 543
